index,start_time,end_time,section,contents
0,00:00:00,00:00:01,"던
탁29 》펀클럽주인을맞허래14",팬클럽 주인을 맞혀라  ㅁ소은 로 고레 수사기 수구 기은 세  
1,00:00:01,00:00:02,"!던
타러 [퍼프 으노",벼   여사   “  내 고조오 가수두팬클럽 주인을 맞혀라  
2,00:00:02,00:00:03,"[운
6 리 을] 『팬럼주인을맞히래<",     가 ㄴㄴ 고추 그가팬클럽 주인을 맞혀가    
3,00:00:03,00:00:04,"!운 ㅣ
고 아일0085009901",이 그루 우에 에격오기 패기 개  
4,00:00:04,00:00:05,"!운 ㅣ
고 아일0985009001",나비 나 턱 고       때  ;      스레 시으래 아른         가오루 수 고 그기르시어키 크  
5,00:00:05,00:00:06,"떠
티에 은미
래기내이 00",그냥 의선패부는 타입                 어던없바 다
6,00:00:06,00:00:07,"려
은하 르타마이
 묘 을 } 팬클럽 주인을 타노",으으이시고바보라이 드흐고           
7,00:00:07,00:00:08,"=
는 베개 랜다미미
가 내이",르느  \ 그도어벼 다리리
8,00:00:08,00:00:09,"은
'들기은(69680
라사 대이 느니",디피
9,00:00:09,00:00:10,"놀기돔 696009
는     일 오다 60000
별 요         이 [이 그티나", 오그미리
10,00:00:10,00:00:11,"놀라움  `”\
나라그까마으으 포",니 혜 버거 개 
11,00:00:11,00:00:12,"톨거라이드
을 } 팬클럽 주인들맞혀라!<
후유          ”…",  비
12,00:00:12,00:00:13,"가 으느개
래가22매이 5001
시",리수 비디넌그리수인태디
13,00:00:13,00:00:14,"타타노
20개30
=@                   1",이 이소모드오후ㅡ때
14,00:00:14,00:00:15,"높가운
티카
크 요       팬클럽 주인을 맞혀라!
1",주 
15,00:00:15,00:00:16,"놀리드 , 65
!운 , 6599.000
로 [. 0) [프 구기디캐이 그다이디새",섭 문고 세어        그    코 루루 는 
16,00:00:16,00:00:17,"놀리드 , 65
10 2000 ㅁ
로 [0 0) [브 구기디크아 그다이새",ㄴ구야라  좋음   그    그이 즌  때때 께
17,00:00:17,00:00:18,"랙릴는 ㅣ 의만두7000ㅁ
더 6 은 93963", 신신
18,00:00:18,00:00:19,"르기 은. 윈민두1000
타인 저터개리",싼신키
19,00:00:19,00:00:20,"티카
팬클럽 주인을 맞혀라!4
그리               ~",나 하신히
20,00:00:20,00:00:21,"가리루  로
타리으으으 0
, 」",
21,00:00:21,00:00:22,"바드 으이
= (을 『06럽주을윗히래<",제 던휴
22,00:00:22,00:00:23,"은 【끔
토바 는 으이
 요 을  팬클럽 주인을 맞혀라!4",       기_헤바라기
23,00:00:23,00:00:24,"-개탤 아미
토라도 이디
 요 을  이 13로아그 티노", 기 예바라기
24,00:00:24,00:00:25,"-개탤 아미
나는 으디
 요 을  팬클럽 주인을 맞혀라!4",배너규
25,00:00:25,00:00:26,"가이
가터 바그는 이  '
2 (을 『판3럽주인들맞히래<",_과   ㅡ            기송혜래다아  쁘 이
